,caption,pos_sims,neg_sims,url,score
0,an empty chair sitting in front of a window,0.5716253037413153,0.5155655850648496,http://static.flickr.com/2723/4385058960_b0f291553e.jpg,0.05605971867646564
1,the train station as seen from our bedroom window in kyoto,0.34105644454590983,0.4170180786939646,http://static.flickr.com/60/162425571_28e396e664.jpg,-0.07596163414805479
2,the plant in front of my window is the perfect example of this mirror,0.38632428351921283,0.5171350182749603,http://static.flickr.com/4045/4546514230_bef88f864a.jpg,-0.1308107347557475
3,"the sun peeks from the windows on a building in philadelphia, pennsylvania",0.42320928733641544,0.38784213672834533,http://static.flickr.com/3649/3565175200_c01c9a2725.jpg,0.03536715060807011
4,the stained glass window in the cathedral at the university,0.4604022681990628,0.4196025325549044,http://static.flickr.com/2346/2672417986_7ffd2d8089.jpg,0.04079973564415845
5,an old wooden window shutter with red flowers in the background,0.47402948633000364,0.55664855310535,http://static.flickr.com/3292/2829742557_56db3bb1da.jpg,-0.08261906677534636
6,the interior stained glass windows are from the cathedral,0.3699086724615611,0.37440065680996815,http://static.flickr.com/2654/4142176073_6d33cfc005.jpg,-0.00449198434840703
7,a tea shop sign and a window in a bathroom,0.40472287511612176,0.4566612067567191,http://static.flickr.com/44/165289568_fc26e3d8c9.jpg,-0.05193833164059736
8,a cat sitting in a window of a store,0.4286039071862783,0.5362709869699087,http://static.flickr.com/3132/3104961649_7ecace1673.jpg,-0.10766707978363044
9,a stained glass window in the basilica,0.48039565914752574,0.45023285722791295,http://static.flickr.com/3120/2854562034_2b6504628b.jpg,0.03016280191961279
10,the stained glass window in st mary's church,0.4679338678603116,0.42766730718322876,http://static.flickr.com/3487/4000394858_101ec99839.jpg,0.04026656067708284
11,a lamp in the dark with a window in the middle,0.5979745446013475,0.5215807910793069,http://static.flickr.com/2328/2237617921_61e0d87499.jpg,0.07639375352204059
12,a church room with two windows and some red carpet,0.3988486697382278,0.500677912581496,http://static.flickr.com/3340/4574231183_00fcaa6d5f.jpg,-0.10182924284326816
13,the office building across from us in orlando with large windows,0.42560335975216024,0.47836271785936424,http://static.flickr.com/3067/2628474225_8617929cc8.jpg,-0.052759358107204
14,window in a kitchen with a view,0.5557241434548477,0.5397048384960986,http://static.flickr.com/2459/3753025586_d6cfcbd92d.jpg,0.016019304958749037
15,there is a window on the front of this building,0.49906505561325865,0.541534430252691,http://static.flickr.com/178/379868962_5bceb7d025.jpg,-0.042469374639432345
16,stained glass window in the rose cathedral in notre - louis,0.3714958592234549,0.38679030007748033,http://static.flickr.com/34/98769279_9bd0f015f6.jpg,-0.015294440854025426
17,the stain stained glass windows in the cathedral,0.40044581338052027,0.3560008726736314,http://static.flickr.com/2360/2361174315_f6363afc16.jpg,0.04444494070688887
18,"the dress in the shop window, looking out at the street",0.43689450044805345,0.5987976914818336,http://static.flickr.com/186/484994322_7d195c4b34.jpg,-0.16190319103378015
19,a stained glass window in the chapel,0.5050012140899324,0.47664378336801777,http://static.flickr.com/3124/2920856205_f5740f0dd2.jpg,0.0283574307219146
20,"the stained glass window in st mary's cathedral in baltimore, md",0.4160306226494603,0.41083238109995074,http://static.flickr.com/187/381512608_1b78310997.jpg,0.005198241549509541
