,caption,pos_sims,neg_sims,url,score,sim_score_image,clip_logit_image
5,tomato isolated on white background,0.8613057430504776,0.5422247833247432,"https://thumb7.shutterstock.com/display_pic_with_logo/160432/160432,1231719353,1/stock-photo-raster-illustration-of-a-single-tomato-isolated-on-white-23136697.jpg",0.31908095972573436,0.3914443552494049,39.144439697265625
156,a row of tomatoes against a white background,0.8102307740560578,0.5518068447596928,https://media.istockphoto.com/photos/five-tomatoes-in-a-row-isolated-on-white-picture-id516144338?k=6&m=516144338&s=612x612&w=0&h=wpEbUJAEpHUCNqL8GyHRop4b3WmThWWkXJ69X2dT7uw=,0.25842392929636504,0.32790353894233704,32.79035568237305
171,ripe tomatoes in a pile,0.7188609981200957,0.5921710947723545,https://images.squarespace-cdn.com/content/v1/5bd0b7fdc2ff6142011b028e/1565912855727-4ULX3QV74FKAM87DRXNO/ke17ZwdGBToddI8pDm48kHH9S2ID7_bpupQnTdrPcoF7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0nQwvinDXPV4EYh2MRzm-RRB5rUELEv7EY2n0AZOrEupxpSyqbqKSgmzcCPWV5WMiQ/tomato%2B2019.jpg,0.12668990334774122,0.29757243394851685,29.757246017456055
41,a bunch of tomatoes in a bowl,0.7187634873091847,0.686815533352601,https://pics.davesgarden.com/pics/2004/11/15/momof2d/266608.jpg,0.031947953956583675,,
157,a white bowl filled with small green and red tomatoes,0.7082512872391898,0.6216311066768716,http://c8.alamy.com/comp/K9KJWP/a-bowl-of-late-season-mixed-green-and-red-tomatoes-K9KJWP.jpg,0.08662018056231824,0.31226983666419983,31.226985931396484
0,a basket with fresh tomatoes and green onion on white background,0.7068916960522978,0.5926730229977688,https://thumb1.shutterstock.com/display_pic_with_logo/2518780/377148118/stock-vector-pickled-tomatoes-in-a-wooden-kit-spices-herbs-and-seasonings-vector-illustration-377148118.jpg,0.11421867305452904,0.2988108694553375,29.88109016418457
162,many tomatoes move on a white surface,0.6990562344466982,0.5212761978551883,https://ak3.picdn.net/shutterstock/videos/33494953/thumb/12.jpg,0.17778003659150987,0.33840233087539673,33.84023666381836
75,a pile of tomatoes are shown with green leaves,0.6983899036212179,0.5705589780794189,https://r.pomoho.net/bmh/pic/2019/08-27/040101_40413805.jpg,0.12783092554179898,,
155,green tomatoes on the stem,0.6871587962916808,0.49684055503798186,https://media.gettyimages.com/photos/green-tomato-plant-against-a-white-background-picture-id182201178?s=612x612,0.1903182412536989,,
176,"a bowl full of curd, parsley and tomatoes on a black background",0.6733746993255327,0.572269903497747,https://www.homemenu.in/images/product_images/84_11-03-20-15-21-28_Curd%20rice.jpg,0.10110479582778575,,
