caption,url,pos_sims,neg_sims,score
sliced mango on a white background,https://thumb7.shutterstock.com/display_pic_with_logo/2067617/596316995/stock-photo-fresh-mango-isolated-on-a-white-background-596316995.jpg,0.8156049450557767,0.644224056883066,0.1713808881727107
"the mango tree, an image from the anthropological anthropological society",http://images.slideplayer.com/24/7041344/slides/slide_17.jpg,0.5051525371417027,0.5510331973050254,-0.045880660163322706
mango chia pudding in a bowl with mangos,https://www.samirasrecipe.com/wp-content/uploads/2017/03/Sago-Mango-Pudding-1200x1200.jpg,0.504609029661714,0.6137870645880869,-0.1091780349263729
several mangoes hanging from the tree,https://www.tiq.qld.gov.au/wp-content/uploads/2015/08/korea-mangoes-tall.jpg,0.6104360544732965,0.7821824342662257,-0.17174637979292917
"chopped greens, sliced mangos, and onion in a bowl",https://omnivorescookbook.com/wp-content/uploads/2013/12/1605_Spinach-Saladwith-With-Mangoes_002.jpg,0.4815180517277336,0.6115407752923253,-0.1300227235645917
mango chicken avocado salsa with pita chips,https://www.foodieflashpacker.com/wp-content/uploads/2017/12/ceviche-foodie-flashpacker-travel-food-best-brunches-chiang-mai-thailand.jpg,0.4588471307760995,0.635884405904971,-0.17703727512887146
fresh green and yellow mangoes in plastic boxes on display at a farmers market stock photos,https://thumbs.dreamstime.com/b/mangoes-crates-market-168392944.jpg,0.6137314011432918,0.5500964088085909,0.06363499233470093
a piece of mango crumb pudding cake sitting on a plate,https://www.homemadefoodjunkie.com/wp-content/uploads/2014/07/IMG_4237-1024x863-2.jpg,0.5314175296771719,0.5789777294400784,-0.047560199762906485
"a mug that says, ` ` person on the mango '",https://www.thisengland.co.uk/media/catalog/product/cache/770e30b5f34f72702dbdffef828d5196/l/o/lord_of_the_manor_2.jpg,0.4788043170549496,0.5253243220355033,-0.0465200049805537
a glass of mango juice with a tube of syrup,https://jonwedell.com/wp-content/uploads/2015/08/DSC02913-1024x683.jpg,0.5469706835634204,0.6694571687052827,-0.12248648514186233
mango ice cream in a small glass with foam,http://static.flickr.com/2130/2357414730_7760a5316f.jpg,0.5115392419898701,0.6557638414859781,-0.144224599496108
mango hanging from the tree in front of an apple orchard,https://goingfabulous.files.wordpress.com/2012/11/dsc01186.jpg,0.5737487102346068,0.7432023896170126,-0.16945367938240574
a glass with a scoop of mango ice cream in it,https://i.pinimg.com/736x/66/97/b2/6697b26129138c5f0011e89c80b16d16.jpg,0.5402565929526418,0.6287110569353583,-0.0884544639827165
ceres mango juice carton,https://images-na.ssl-images-amazon.com/images/I/41ce0zpx0dL.jpg,0.5403511307450657,0.662267595615428,-0.12191646487036234
"the beauty of mango, orange, lemon juice, and white peachs gift set",https://www.consciouskin.com/assets/thumb/25040.jpg?1563399064,0.5436698017533278,0.5037985387047486,0.03987126304857924
grilled chicken with mango peach salsa on top with a bed of quino and a side of cous,https://www.nospoonnecessary.com/wp-content/uploads/2017/08/Ginger-Honey-Glazed-Pork-Chops-with-Peach-Poblano-Salsa-141.jpg,0.4033145986896371,0.5699063371287976,-0.16659173843916047
"an entree with a fried pork, cole slaw, and mango",https://static1.squarespace.com/static/5c5b4d84d74562bd6398b3bb/5c5b4fd79140b7d7b605e3ad/5d23ac27c01b490001fc59d2/1562624140672/20190708_123801.jpg?format=2500w,0.4621970073560094,0.5370510107299988,-0.07485400337398945
