caption,url,score,cosine_similarity,clip_logit,pos_sims,neg_sims
a green and yellow auto rickshaw,https://cakeandlace.com/wp-content/uploads/2017/12/tuk-tuk-3.jpg,0.1546656974910861,0.30997493863105774,30.997495651245117,0.918248043848128,0.7635823463570419
an auto rickshaw on a white background,http://l7.alamy.com/zooms/06a487d17aab4808b019cee28e8523ed/close-up-of-an-auto-rickshaw-india-d38te1.jpg,0.1393401939031722,0.29751524329185486,29.75152587890625,0.8452963236040636,0.7059561297008914
the top of an indian auto rickshaw in yellow and green stock photography,https://thumbs.dreamstime.com/b/auto-rickshaw-parked-road-yellow-green-color-121493213.jpg,0.1018214356234821,0.35113954544067383,35.113956451416016,0.7247040238794983,0.6228825882560162
yellow auto rickshaw parked outside a small village in the countryside,http://l7.alamy.com/zooms/f9c6c115e6594188943afb7f4d72414e/indian-rickshaw-outside-a-rural-village-house-andhra-pradesh-india-bxa4h5.jpg,0.0948034927920746,0.33655667304992676,33.655670166015625,0.7276096652441182,0.6328061724520435
a yellow and blue lego auto rickshaw in its crate,https://images.cdn.circlesix.co/image/1/700/0/uploads/posts/2016/03/218c0506b406a1abaebe0d0e752a64fd.jpg,0.0903966158788281,,,0.6179830765916308,0.5275864607128026
"indian auto rickshaw icon, flat style a picture of indian auto rickshaw icon in flat style on a",https://thumbs.dreamstime.com/b/thailand-three-wheel-native-taxi-icon-flat-style-white-background-81982888.jpg,0.0619740020025638,0.31115734577178955,31.11573600769043,0.630445010079258,0.5684710080766942
"red ancient rickshaws, classic passenger taxi, ancient auto rickshaw for tourists, rickshaws of",https://gd2.alicdn.com/imgextra/i2/2591725550/TB26KCydstnpuFjSZFKXXalFFXa_!!2591725550.jpg,0.0596135102756396,,,0.6312748545550972,0.5716613442794576
an auto rickshaw is shown with wheels attached,https://cpimg.tistatic.com/03485841/b/4/Garv-435-D-Diesel-Auto-Rickshaw.jpg,0.0343359154696116,0.32449662685394287,32.44966506958008,0.7555492140417615,0.7212132985721498
an auto rickshaw icon,https://image.shutterstock.com/display_pic_with_logo/174933992/1253870815/stock-vector-indian-auto-rickshaw-illustration-in-geometric-style-can-be-used-as-a-sticker-icon-logo-design-1253870815.jpg,0.0319966976766292,,,0.7415876701315204,0.7095909724548911
tuk tuk motorcycle is the auto rickshaws of india stock illustration,https://thumbs.dreamstime.com/b/vector-graphic-traditional-taxi-indonesia-known-as-bajaj-bajai-78657932.jpg,0.0287301070702238,0.27653810381889343,27.653812408447266,0.5865123412958414,0.5577822342256176
