caption,url,pos_sims,neg_sims,score
three girls riding in the auto rickshaw,https://images.robertharding.com/preview/RM/RH/HORIZONTAL/817-434094.jpg,0.6214348653331668,0.6506518244756004,-0.029216959142433607
a yellow and blue lego auto rickshaw in its crate,https://images.cdn.circlesix.co/image/1/700/0/uploads/posts/2016/03/218c0506b406a1abaebe0d0e752a64fd.jpg,0.6179830765916308,0.5275864607128026,0.09039661587882819
"the auto rickshaw is a transportation system used for transporting goods to the nearby area of the city, and",https://thumbs.dreamstime.com/b/rickshaw-rain-bike-malagasy-form-transport-cities-riding-even-torrential-tropical-monsoon-madagascar-44683252.jpg,0.577448780057494,0.5749308249656776,0.002517955091816404
a woman walking in front of pink auto rickshaws,https://storage.googleapis.com/picxystatic/cache/2019/5/27/0ff9d9c92af346e23e356b97c3dc5273.jpg,0.572253431442044,0.606754543362624,-0.03450111192058003
a man is on the road in an auto rickshaw,http://www.dannyfernandez.co.uk/wp-content/uploads/2015/03/varanasi-blog-2-of-56.jpg,0.6886975735878713,0.6937445191713283,-0.005046945583456974
the engine of an auto rickshaw in dhaka bangladesh on november 11 2015,https://media.gettyimages.com/photos/people-mill-around-a-modified-jeepney-in-a-manila-parking-lot-during-picture-id81584640?s=612x612,0.593585147948275,0.5926078991590937,0.000977248789181262
an auto rickshaw icon,https://image.shutterstock.com/display_pic_with_logo/174933992/1253870815/stock-vector-indian-auto-rickshaw-illustration-in-geometric-style-can-be-used-as-a-sticker-icon-logo-design-1253870815.jpg,0.7415876701315204,0.7095909724548911,0.03199669767662927
an auto rickshaw is being hauled over by a truck in the streets,http://l7.alamy.com/zooms/561fbe25de6c485b92a2cc1fe32eb62a/an-overloaded-auto-rickshaw-strayed-off-due-to-over-speeding-near-f7ahnk.jpg,0.6660324807685574,0.703712472989479,-0.037679992220921665
an auto rickshaw stopped in the middle of a street,https://santorinidave.com/wp-content/uploads/2019/05/delhi-bnineteen-rickshaws-18.jpg,0.6662023947272042,0.72789092441538,-0.06168852968817573
an indian auto rickshaw car parked in a parking lot at the city,https://image.shutterstock.com/image-photo/bangkok-thailand-26-november-2015-600w-343920449.jpg,0.6927953665976719,0.7064714148471548,-0.013676048249482875
the auto rickshaws prohibited sign royalty illustration,https://thumbs.dreamstime.com/b/no-tuk-tuk-thailand-rickshaw-three-wheeled-tricycle-motorcycles-traffic-sign-isolate-white-background-vector-illustration-158696425.jpg,0.5983787371118873,0.5894077782619589,0.008970958849928379
hyderabad city highway at traffic light with auto rickshaw,https://images.picxy.com/cache/2019/12/5/287114ba871b6d9c9621227ab067eb3d.jpg,0.6100430655006244,0.6099762008974003,6.68646032240261e-05
a man driving an auto rickshaw with the door open,https://www.tommyschultz.com/wp-content/plugins/justified-image-grid/timthumb.php?src=https%3A%2F%2Fwww.tommyschultz.com%2Fphotos%2Ftravel-portrait-portfolio%2Ftravel-portraits-people-photos-57.jpg&h=450&q=90&f=.jpg,0.6966669237580897,0.680476412465092,0.016190511292997645
auto rickshaw driving on the road,http://l7.alamy.com/zooms/09565611960d4782b67e4d157fc397b1/a-rickshaw-drives-on-a-road-in-bangalore-south-india-the-rickshaw-b22tfg.jpg,0.714116352568826,0.7515495864088901,-0.03743323384006414
a man with a large basket is walking by his auto rickshaw on a street,https://t4.thpservices.com/previewimage/gallage/d4754d0438f401c4760409c50c4afbe0/dpa-rsc-109696.jpg,0.5418869195421608,0.6116942219419816,-0.0698073023998208
